? (169.254.255.255) at 0:a5:bf:d1:67:56 on en0 [ethernet]
? (192.168.20.1) at 0:a5:bf:d1:67:56 on en0 ifscope [ethernet]
il-a1.21-school.ru (192.168.20.11) at 78:7b:8a:d6:88:74 on en0 ifscope [ethernet]
il-a3.21-school.ru (192.168.20.13) at 78:7b:8a:d6:85:3f on en0 ifscope [ethernet]
il-b1.21-school.ru (192.168.20.14) at 78:7b:8a:d6:fe:f2 on en0 ifscope [ethernet]
il-b2.21-school.ru (192.168.20.15) at 78:7b:8a:d7:3d:5b on en0 ifscope [ethernet]
il-b4.21-school.ru (192.168.20.17) at 78:7b:8a:d6:8f:21 on en0 ifscope [ethernet]
il-c3.21-school.ru (192.168.20.20) at 78:7b:8a:d6:db:49 on en0 ifscope [ethernet]
il-d3.21-school.ru (192.168.20.24) at 78:7b:8a:d6:ba:88 on en0 ifscope permanent [ethernet]
il-e2.21-school.ru (192.168.20.29) at 78:7b:8a:c8:ce:53 on en0 ifscope [ethernet]
il-e4.21-school.ru (192.168.20.31) at 78:7b:8a:cb:73:3b on en0 ifscope [ethernet]
il-g1.21-school.ru (192.168.20.40) at 78:7b:8a:d6:b7:e7 on en0 ifscope [ethernet]
il-g3.21-school.ru (192.168.20.42) at a8:60:b6:35:5d:88 on en0 ifscope [ethernet]
il-h1.21-school.ru (192.168.20.46) at 78:7b:8a:d6:8a:1 on en0 ifscope [ethernet]
il-i2.21-school.ru (192.168.20.53) at 78:7b:8a:cb:6d:6e on en0 ifscope [ethernet]
il-i5.21-school.ru (192.168.20.56) at 78:7b:8a:c8:d2:50 on en0 ifscope [ethernet]
il-j3.21-school.ru (192.168.20.60) at 78:7b:8a:cb:6c:57 on en0 ifscope [ethernet]
il-j5.21-school.ru (192.168.20.62) at 78:7b:8a:ca:f1:fc on en0 ifscope [ethernet]
il-k1.21-school.ru (192.168.20.64) at 78:7b:8a:cb:67:4e on en0 ifscope [ethernet]
il-k6.21-school.ru (192.168.20.69) at 78:7b:8a:c8:d3:50 on en0 ifscope [ethernet]
oa-a2.21-school.ru (192.168.21.12) at 78:7b:8a:cb:6e:f on en0 ifscope [ethernet]
oa-a4.21-school.ru (192.168.21.14) at 78:7b:8a:c8:d4:81 on en0 ifscope [ethernet]
oa-b3.21-school.ru (192.168.21.18) at 78:7b:8a:b5:ae:9a on en0 ifscope [ethernet]
oa-b5.21-school.ru (192.168.21.20) at 78:7b:8a:cb:62:ed on en0 ifscope [ethernet]
